Data,Produto,Categoria,Quantidade,Preco,Total_Venda
2023-12-06,Teclado,Acessórios,1,132.46,132.46
2023-12-20,Mesa,Móveis,5,1405.43,7027.150000000001
2023-05-05,Notebook,Eletrônicos,2,3284.41,6568.82
2023-02-16,Mesa,Móveis,1,1058.26,1058.26
2023-12-01,Mouse,Acessórios,3,77.48,232.44
2023-08-29,Mouse,Acessórios,5,77.0,385.0
2023-06-20,Cadeira,Móveis,3,878.21,2634.63
2023-06-12,Notebook,Eletrônicos,4,3115.87,12463.48
2023-04-06,Mouse,Acessórios,3,84.03,252.09
2023-02-08,Mouse,Acessórios,3,66.66,199.98
2023-05-29,Mouse,Acessórios,2,94.39,188.78
2023-12-06,Teclado,Acessórios,5,120.83,604.15
2023-03-09,Mouse,Acessórios,1,74.9,74.9
2023-04-05,Monitor,Eletrônicos,2,985.11,1970.22
2023-04-26,Mouse,Acessórios,2,83.34,166.68
2023-07-31,Teclado,Acessórios,2,133.07,266.14
2023-10-09,Mesa,Móveis,2,1140.89,2281.78
2023-09-15,Monitor,Eletrônicos,3,1340.29,4020.87
2023-07-15,Mesa,Móveis,2,1191.0,2382.0
2023-11-03,Notebook,Eletrônicos,3,3775.64,11326.92
2023-03-15,Teclado,Acessórios,3,158.9,476.70000000000005
2023-03-20,Cadeira,Móveis,1,785.59,785.59
2023-01-30,Mesa,Móveis,1,1345.12,1345.12
2023-10-17,Notebook,Eletrônicos,4,3645.06,14580.24
2023-07-21,Cadeira,Móveis,1,912.53,912.53
2023-02-19,Teclado,Acessórios,1,121.03,121.03
2023-06-08,Mouse,Acessórios,3,74.45,223.35000000000002
2023-02-16,Mouse,Acessórios,4,91.99,367.96
2023-12-10,Cadeira,Móveis,5,777.39,3886.95
2023-10-12,Notebook,Eletrônicos,5,3993.35,19966.75
2023-09-16,Monitor,Eletrônicos,1,1307.88,1307.88
2023-01-13,Notebook,Eletrônicos,2,3818.63,7637.26
2023-11-03,Cadeira,Móveis,4,797.95,3191.8
2023-01-24,Mouse,Acessórios,5,77.52,387.59999999999997
2023-05-01,Cadeira,Móveis,4,984.01,3936.04
2023-02-18,Teclado,Acessórios,1,142.94,142.94
2023-05-25,Mesa,Móveis,4,1323.88,5295.52
2023-05-28,Teclado,Acessórios,2,121.91,243.82
2023-05-04,Mesa,Móveis,3,1205.51,3616.5299999999997
2023-08-13,Teclado,Acessórios,3,170.74,512.22
2023-04-13,Teclado,Acessórios,5,173.75,868.75
2023-09-21,Mouse,Acessórios,3,64.9,194.70000000000002
2023-02-02,Mesa,Móveis,1,1201.1,1201.1
2023-06-10,Mesa,Móveis,4,1442.67,5770.68
2023-08-19,Mesa,Móveis,1,1170.73,1170.73
2023-09-16,Monitor,Eletrônicos,4,1301.39,5205.56
2023-03-13,Notebook,Eletrônicos,1,2936.39,2936.39
2023-06-07,Cadeira,Móveis,1,854.88,854.88
2023-10-02,Mouse,Acessórios,3,79.03,237.09
2023-03-06,Teclado,Acessórios,5,160.41,802.05
2023-01-31,Cadeira,Móveis,1,1063.72,1063.72
2023-03-21,Mouse,Acessórios,5,77.96,389.79999999999995
2023-02-03,Cadeira,Móveis,2,1048.93,2097.86
2023-09-19,Cadeira,Móveis,5,776.76,3883.8
2023-03-18,Mouse,Acessórios,1,85.31,85.31
2023-07-16,Mesa,Móveis,4,1187.48,4749.92
2023-12-08,Teclado,Acessórios,1,133.79,133.79
2023-11-08,Mouse,Acessórios,1,74.46,74.46
2023-08-25,Teclado,Acessórios,1,130.13,130.13
2023-10-23,Monitor,Eletrônicos,5,1097.09,5485.45
2023-04-29,Monitor,Eletrônicos,4,1039.81,4159.24
2023-03-03,Mesa,Móveis,2,1133.25,2266.5
2023-08-04,Monitor,Eletrônicos,4,982.3,3929.2
2023-10-14,Mesa,Móveis,2,1395.65,2791.3
2023-03-11,Cadeira,Móveis,2,1048.81,2097.62
2023-01-26,Notebook,Eletrônicos,1,4130.17,4130.17
2023-02-04,Mesa,Móveis,3,1402.01,4206.03
2023-07-02,Notebook,Eletrônicos,2,2880.92,5761.84
2023-04-07,Cadeira,Móveis,4,879.96,3519.84
2023-06-04,Monitor,Eletrônicos,5,1033.05,5165.25
2023-05-08,Mouse,Acessórios,3,87.76,263.28000000000003
2023-11-24,Cadeira,Móveis,2,960.8,1921.6
2023-04-01,Notebook,Eletrônicos,3,3118.62,9355.86
2023-12-10,Mesa,Móveis,5,1457.94,7289.700000000001
2023-12-23,Mesa,Móveis,2,1381.76,2763.52
2023-03-27,Cadeira,Móveis,2,857.24,1714.48
2023-03-14,Mouse,Acessórios,5,89.49,447.45
2023-07-18,Monitor,Eletrônicos,5,1426.32,7131.599999999999
2023-07-31,Mouse,Acessórios,4,87.41,349.64
2023-01-11,Notebook,Eletrônicos,4,2863.6,11454.4
2023-06-25,Notebook,Eletrônicos,2,3224.73,6449.46
2023-12-28,Teclado,Acessórios,1,129.99,129.99
2023-02-08,Teclado,Acessórios,3,173.29,519.87
2023-09-12,Cadeira,Móveis,1,735.89,735.89
2023-05-31,Cadeira,Móveis,1,732.19,732.19
2023-01-12,Mouse,Acessórios,4,88.05,352.2
2023-12-25,Teclado,Acessórios,1,178.19,178.19
2023-08-12,Monitor,Eletrônicos,1,997.3,997.3
2023-08-23,Teclado,Acessórios,5,125.06,625.3
2023-03-16,Cadeira,Móveis,1,817.27,817.27
2023-01-09,Cadeira,Móveis,5,838.69,4193.450000000001
2023-12-24,Mesa,Móveis,1,1459.39,1459.39
2023-07-30,Mouse,Acessórios,2,79.31,158.62
2023-01-06,Mesa,Móveis,2,1138.23,2276.46
2023-01-24,Cadeira,Móveis,1,870.69,870.69
2023-04-19,Cadeira,Móveis,4,951.33,3805.32
2023-01-22,Mouse,Acessórios,1,77.25,77.25
2023-05-03,Monitor,Eletrônicos,3,1380.74,4142.22
2023-06-21,Mouse,Acessórios,5,69.33,346.65
2023-12-28,Monitor,Eletrônicos,2,1421.33,2842.66
2023-06-20,Mouse,Acessórios,5,72.89,364.45
2023-12-11,Mesa,Móveis,3,1111.26,3333.7799999999997
2023-01-04,Cadeira,Móveis,4,903.53,3614.12
2023-10-09,Monitor,Eletrônicos,2,1014.53,2029.06
2023-07-10,Mesa,Móveis,4,1097.26,4389.04
2023-09-15,Mesa,Móveis,4,1201.95,4807.8
2023-06-25,Notebook,Eletrônicos,4,4052.26,16209.04
2023-07-14,Mesa,Móveis,2,1165.83,2331.66
2023-06-05,Teclado,Acessórios,3,135.74,407.22
2023-07-13,Mesa,Móveis,2,1451.52,2903.04
2023-08-15,Teclado,Acessórios,1,132.56,132.56
2023-02-23,Mesa,Móveis,1,1256.96,1256.96
2023-09-16,Notebook,Eletrônicos,5,4169.05,20845.25
2023-11-14,Mouse,Acessórios,4,71.88,287.52
2023-10-16,Mouse,Acessórios,3,85.0,255.0
2023-03-15,Monitor,Eletrônicos,1,976.55,976.55
2023-02-21,Mesa,Móveis,4,1389.86,5559.44
2023-07-06,Cadeira,Móveis,2,775.01,1550.02
2023-06-24,Monitor,Eletrônicos,3,1223.02,3669.06
2023-05-20,Mouse,Acessórios,1,74.46,74.46
2023-01-21,Cadeira,Móveis,3,859.15,2577.45
2023-04-06,Teclado,Acessórios,5,125.18,625.9000000000001
2023-03-27,Mesa,Móveis,5,1415.48,7077.4
2023-03-20,Cadeira,Móveis,1,948.02,948.02
2023-04-01,Cadeira,Móveis,5,1002.66,5013.3
2023-07-05,Mouse,Acessórios,3,67.92,203.76
2023-09-12,Mesa,Móveis,3,1311.03,3933.09
2023-02-03,Mouse,Acessórios,4,77.98,311.92
2023-11-23,Mouse,Acessórios,5,73.47,367.35
2023-06-03,Mouse,Acessórios,1,95.59,95.59
2023-01-11,Mesa,Móveis,5,1246.36,6231.799999999999
2023-01-01,Teclado,Acessórios,2,151.76,303.52
2023-01-13,Monitor,Eletrônicos,2,1074.56,2149.12
2023-06-06,Cadeira,Móveis,1,783.75,783.75
2023-06-12,Mouse,Acessórios,2,76.34,152.68
2023-11-03,Mesa,Móveis,5,1355.23,6776.15
2023-06-19,Teclado,Acessórios,3,155.89,467.66999999999996
2023-03-13,Cadeira,Móveis,3,937.36,2812.08
2023-01-04,Notebook,Eletrônicos,2,2986.83,5973.66
2023-05-20,Cadeira,Móveis,1,980.41,980.41
2023-04-28,Cadeira,Móveis,3,869.85,2609.55
2023-11-26,Monitor,Eletrônicos,1,1430.22,1430.22
2023-03-10,Teclado,Acessórios,3,140.69,422.07
2023-09-04,Notebook,Eletrônicos,3,3727.44,11182.32
2023-12-09,Mesa,Móveis,2,1431.96,2863.92
2023-02-25,Mesa,Móveis,1,1472.72,1472.72
2023-07-14,Monitor,Eletrônicos,4,1084.4,4337.6
2023-12-22,Monitor,Eletrônicos,5,1206.53,6032.65
2023-12-04,Teclado,Acessórios,4,121.75,487.0
2023-02-28,Monitor,Eletrônicos,5,1384.37,6921.849999999999
2023-07-22,Teclado,Acessórios,4,151.38,605.52
2023-06-06,Monitor,Eletrônicos,2,1254.47,2508.94
2023-06-14,Monitor,Eletrônicos,3,1374.83,4124.49
2023-06-27,Mesa,Móveis,2,1220.78,2441.56
2023-05-10,Mouse,Acessórios,3,83.03,249.09
2023-08-26,Mouse,Acessórios,4,84.46,337.84
2023-07-18,Cadeira,Móveis,1,1018.26,1018.26
2023-10-09,Notebook,Eletrônicos,2,3290.51,6581.02
2023-06-28,Cadeira,Móveis,4,805.67,3222.68
2023-10-23,Cadeira,Móveis,1,822.0,822.0
2023-04-01,Notebook,Eletrônicos,3,3879.54,11638.619999999999
2023-11-11,Mouse,Acessórios,3,93.01,279.03000000000003
2023-04-24,Teclado,Acessórios,5,155.63,778.15
2023-04-02,Teclado,Acessórios,1,139.73,139.73
2023-01-09,Monitor,Eletrônicos,4,1072.78,4291.12
2023-05-04,Notebook,Eletrônicos,4,2925.21,11700.84
2023-08-09,Notebook,Eletrônicos,1,3830.37,3830.37
2023-10-05,Monitor,Eletrônicos,4,1359.17,5436.68
2023-06-03,Monitor,Eletrônicos,1,1081.57,1081.57
2023-06-23,Monitor,Eletrônicos,2,1184.89,2369.78
2023-12-15,Mouse,Acessórios,2,67.65,135.3
2023-12-21,Notebook,Eletrônicos,2,3632.41,7264.82
2023-09-19,Mesa,Móveis,1,1258.19,1258.19
2023-11-01,Teclado,Acessórios,5,169.84,849.2
2023-04-13,Teclado,Acessórios,4,179.81,719.24
2023-06-06,Monitor,Eletrônicos,3,1198.81,3596.43
2023-07-22,Teclado,Acessórios,1,129.47,129.47
2023-05-25,Cadeira,Móveis,1,784.78,784.78
2023-02-03,Mouse,Acessórios,4,84.49,337.96
2023-09-16,Teclado,Acessórios,1,130.17,130.17
2023-04-07,Teclado,Acessórios,5,139.62,698.1
2023-02-22,Cadeira,Móveis,2,792.72,1585.44
2023-02-19,Mouse,Acessórios,1,64.63,64.63
2023-02-22,Monitor,Eletrônicos,4,1362.18,5448.72
2023-09-02,Mesa,Móveis,5,1087.45,5437.25
2023-04-05,Teclado,Acessórios,1,146.33,146.33
2023-02-21,Teclado,Acessórios,1,127.31,127.31
2023-12-19,Teclado,Acessórios,2,130.36,260.72
2023-07-01,Mesa,Móveis,4,1266.14,5064.56
2023-04-25,Mesa,Móveis,5,1444.57,7222.849999999999
2023-05-21,Cadeira,Móveis,2,722.47,1444.94
2023-01-09,Mesa,Móveis,1,1213.17,1213.17
2023-01-20,Notebook,Eletrônicos,4,3241.87,12967.48
2023-09-23,Notebook,Eletrônicos,1,3002.98,3002.98
2023-04-19,Teclado,Acessórios,5,176.02,880.1
2023-03-24,Monitor,Eletrônicos,4,1014.09,4056.36
2023-10-07,Teclado,Acessórios,1,140.25,140.25
2023-05-20,Mesa,Móveis,3,1301.04,3903.12
2023-04-01,Cadeira,Móveis,1,1023.31,1023.31
2023-01-16,Notebook,Eletrônicos,1,2992.62,2992.62
2023-05-22,Monitor,Eletrônicos,4,1097.35,4389.4
2023-04-28,Teclado,Acessórios,4,167.87,671.48
2023-08-01,Mouse,Acessórios,1,82.02,82.02
2023-01-21,Mesa,Móveis,4,1280.06,5120.24
2023-04-02,Mouse,Acessórios,1,95.08,95.08
2023-05-09,Notebook,Eletrônicos,4,3257.87,13031.48
2023-11-17,Notebook,Eletrônicos,3,3010.27,9030.81
2023-10-09,Teclado,Acessórios,5,177.0,885.0
2023-01-03,Mesa,Móveis,5,1450.74,7253.7
2023-02-17,Cadeira,Móveis,4,879.65,3518.6
2023-05-16,Teclado,Acessórios,2,171.36,342.72
2023-11-17,Notebook,Eletrônicos,3,3788.2,11364.599999999999
2023-04-19,Monitor,Eletrônicos,2,1052.4,2104.8
2023-07-24,Notebook,Eletrônicos,2,3320.64,6641.28
2023-09-04,Mesa,Móveis,5,1457.26,7286.3
2023-02-07,Mesa,Móveis,4,1223.11,4892.44
2023-03-16,Notebook,Eletrônicos,1,2973.77,2973.77
2023-05-03,Monitor,Eletrônicos,4,1090.18,4360.72
2023-07-26,Teclado,Acessórios,1,134.74,134.74
2023-05-09,Teclado,Acessórios,1,139.38,139.38
2023-06-14,Teclado,Acessórios,5,142.75,713.75
2023-07-13,Mesa,Móveis,3,1163.09,3489.2699999999995
2023-01-03,Cadeira,Móveis,1,747.55,747.55
2023-04-01,Monitor,Eletrônicos,2,961.12,1922.24
2023-07-19,Teclado,Acessórios,1,120.8,120.8
2023-07-13,Teclado,Acessórios,4,147.9,591.6
2023-09-16,Cadeira,Móveis,1,758.32,758.32
2023-11-10,Cadeira,Móveis,4,900.11,3600.44
2023-12-14,Teclado,Acessórios,2,175.81,351.62
2023-07-25,Teclado,Acessórios,5,167.32,836.5999999999999
2023-09-13,Mesa,Móveis,3,1296.02,3888.06
2023-06-22,Mouse,Acessórios,4,66.57,266.28
2023-07-23,Monitor,Eletrônicos,1,1306.75,1306.75
2023-03-20,Mouse,Acessórios,2,73.41,146.82
2023-05-29,Monitor,Eletrônicos,3,1044.39,3133.17
2023-10-02,Notebook,Eletrônicos,5,4141.79,20708.95
2023-12-21,Mouse,Acessórios,1,86.66,86.66
2023-05-07,Mouse,Acessórios,1,88.88,88.88
2023-06-07,Notebook,Eletrônicos,1,4169.81,4169.81
2023-08-21,Teclado,Acessórios,5,176.42,882.0999999999999
2023-07-05,Notebook,Eletrônicos,4,2879.3,11517.2
2023-05-08,Teclado,Acessórios,5,142.6,713.0
2023-04-16,Mesa,Móveis,1,1534.91,1534.91
2023-05-31,Teclado,Acessórios,1,150.88,150.88
2023-05-01,Notebook,Eletrônicos,3,3417.73,10253.19
2023-06-22,Cadeira,Móveis,3,1025.4,3076.2000000000003
2023-08-28,Mouse,Acessórios,1,81.74,81.74
2023-02-25,Cadeira,Móveis,5,894.28,4471.4
2023-08-09,Monitor,Eletrônicos,5,1260.36,6301.799999999999
2023-01-08,Cadeira,Móveis,4,1053.91,4215.64
2023-03-17,Mouse,Acessórios,1,75.96,75.96
2023-05-06,Teclado,Acessórios,1,137.78,137.78
2023-11-16,Mesa,Móveis,4,1041.21,4164.84
2023-02-22,Teclado,Acessórios,2,179.54,359.08
2023-10-12,Cadeira,Móveis,2,733.01,1466.02
2023-01-03,Teclado,Acessórios,2,161.05,322.1
2023-12-20,Cadeira,Móveis,1,967.81,967.81
2023-04-15,Cadeira,Móveis,5,970.23,4851.15
2023-11-11,Teclado,Acessórios,1,153.12,153.12
2023-06-03,Cadeira,Móveis,2,953.05,1906.1
2023-06-16,Notebook,Eletrônicos,5,2962.56,14812.8
2023-09-22,Mouse,Acessórios,3,74.38,223.14
2023-08-23,Notebook,Eletrônicos,1,3405.07,3405.07
2023-10-17,Mouse,Acessórios,1,77.48,77.48
2023-08-18,Cadeira,Móveis,2,828.22,1656.44
2023-01-16,Mouse,Acessórios,2,95.14,190.28
2023-12-26,Teclado,Acessórios,4,159.18,636.72
2023-07-06,Mouse,Acessórios,3,72.59,217.77
2023-10-22,Cadeira,Móveis,3,1029.53,3088.59
2023-01-14,Mesa,Móveis,4,1489.42,5957.68
2023-02-13,Monitor,Eletrônicos,4,1367.98,5471.92
2023-07-19,Notebook,Eletrônicos,3,2980.61,8941.83
2023-09-13,Mouse,Acessórios,3,69.88,209.64
2023-06-27,Mesa,Móveis,1,1535.59,1535.59
2023-12-07,Mouse,Acessórios,5,82.82,414.09999999999997
2023-01-21,Teclado,Acessórios,1,131.06,131.06
2023-11-19,Teclado,Acessórios,3,176.29,528.87
2023-09-12,Cadeira,Móveis,1,1009.91,1009.91
2023-03-01,Mouse,Acessórios,1,89.24,89.24
2023-12-12,Cadeira,Móveis,5,730.94,3654.7000000000003
2023-06-20,Notebook,Eletrônicos,5,3499.33,17496.65
2023-08-22,Monitor,Eletrônicos,2,1129.79,2259.58
2023-11-03,Monitor,Eletrônicos,3,1407.27,4221.8099999999995
2023-02-16,Notebook,Eletrônicos,4,2941.34,11765.36
2023-09-21,Monitor,Eletrônicos,5,1308.93,6544.650000000001
2023-11-09,Cadeira,Móveis,5,909.9,4549.5
2023-10-22,Mesa,Móveis,1,1315.34,1315.34
2023-12-24,Monitor,Eletrônicos,4,1257.64,5030.56
2023-09-27,Teclado,Acessórios,5,163.75,818.75
2023-08-01,Mesa,Móveis,5,1146.36,5731.799999999999
2023-06-12,Notebook,Eletrônicos,3,3673.58,11020.74
2023-04-21,Cadeira,Móveis,3,1072.07,3216.21
2023-09-22,Mesa,Móveis,2,1202.41,2404.82
2023-05-10,Cadeira,Móveis,2,830.68,1661.36
2023-08-25,Teclado,Acessórios,5,130.7,653.5
2023-06-13,Notebook,Eletrônicos,5,2860.5,14302.5
2023-11-15,Teclado,Acessórios,5,139.32,696.5999999999999
2023-07-02,Mouse,Acessórios,2,67.94,135.88
2023-05-20,Mesa,Móveis,5,1078.04,5390.2
2023-10-11,Monitor,Eletrônicos,5,1018.75,5093.75
2023-05-15,Cadeira,Móveis,4,800.15,3200.6
2023-11-20,Monitor,Eletrônicos,1,976.06,976.06
2023-08-20,Notebook,Eletrônicos,3,4167.66,12502.98
2023-05-12,Monitor,Eletrônicos,1,1195.28,1195.28
2023-03-29,Monitor,Eletrônicos,5,970.21,4851.05
2023-06-23,Mesa,Móveis,3,1315.78,3947.34
2023-12-06,Mesa,Móveis,2,1472.09,2944.18
2023-12-17,Mouse,Acessórios,5,65.26,326.3
2023-04-27,Mouse,Acessórios,5,89.36,446.8
2023-06-27,Notebook,Eletrônicos,2,3848.37,7696.74
2023-03-09,Mouse,Acessórios,1,65.32,65.32
2023-10-21,Notebook,Eletrônicos,2,3776.92,7553.84
2023-07-24,Cadeira,Móveis,2,973.09,1946.18
2023-11-24,Notebook,Eletrônicos,4,3602.04,14408.16
2023-05-28,Teclado,Acessórios,2,156.5,313.0
2023-06-30,Monitor,Eletrônicos,3,1203.13,3609.3900000000003
2023-02-09,Notebook,Eletrônicos,2,3439.58,6879.16
2023-09-06,Teclado,Acessórios,2,135.49,270.98
2023-05-18,Notebook,Eletrônicos,2,3786.51,7573.02
2023-08-09,Mouse,Acessórios,5,79.51,397.55
2023-10-26,Teclado,Acessórios,4,149.04,596.16
2023-07-30,Notebook,Eletrônicos,3,2808.98,8426.94
2023-05-28,Mouse,Acessórios,5,64.97,324.85
2023-12-05,Cadeira,Móveis,4,955.14,3820.56
2023-09-12,Cadeira,Móveis,3,870.06,2610.18
2023-08-22,Monitor,Eletrônicos,2,1160.11,2320.22
2023-01-26,Monitor,Eletrônicos,2,1266.49,2532.98
2023-05-08,Teclado,Acessórios,1,158.42,158.42
